"X","Y","Z","ReturnNumber","NumberOfReturns","Classification"
309228.540,6143495.040,465.480,1.000,4.000,5.000
309228.310,6143495.640,462.350,2.000,4.000,5.000
309228.210,6143495.890,461.050,3.000,4.000,5.000
309228.050,6143496.270,459.020,4.000,4.000,2.000
309228.510,6143494.920,465.270,1.000,4.000,5.000
309228.220,6143495.640,461.480,2.000,4.000,5.000
309228.160,6143495.790,460.700,3.000,4.000,1.000
309228.040,6143496.100,459.030,4.000,4.000,2.000
309228.480,6143494.800,465.030,1.000,3.000,5.000
309228.140,6143495.640,460.640,2.000,3.000,1.000
309228.020,6143495.940,459.070,3.000,3.000,2.000
309228.750,6143493.940,468.770,1.000,4.000,5.000
309228.470,6143494.640,465.090,2.000,4.000,5.000
309228.140,6143495.450,460.770,3.000,4.000,1.000
309228.010,6143495.780,459.030,4.000,4.000,2.000
309228.740,6143493.760,468.880,1.000,3.000,5.000
309228.460,6143494.460,465.200,2.000,3.000,5.000
309228.050,6143495.470,459.790,3.000,3.000,1.000
309228.710,6143493.640,468.700,1.000,2.000,5.000
309227.980,6143495.450,459.060,2.000,2.000,2.000
309227.960,6143495.280,459.050,1.000,1.000,2.000
309228.340,6143494.160,464.200,1.000,2.000,5.000
309227.950,6143495.120,459.070,2.000,2.000,2.000
309228.330,6143494.000,464.270,1.000,2.000,5.000
309227.930,6143494.950,459.080,2.000,2.000,2.000
309227.920,6143494.790,459.080,1.000,1.000,2.000
309227.900,6143494.620,459.090,1.000,1.000,2.000
309227.890,6143494.450,459.130,1.000,1.000,2.000
309227.870,6143494.280,459.170,1.000,1.000,2.000
309228.270,6143493.160,464.470,1.000,2.000,5.000
309227.860,6143494.120,459.160,2.000,2.000,2.000
309227.850,6143493.940,459.230,1.000,1.000,2.000
309227.830,6143493.780,459.230,1.000,1.000,2.000
309227.820,6143493.610,459.290,1.000,1.000,2.000
309227.810,6143493.430,459.320,1.000,1.000,2.000
309227.800,6143493.260,459.400,1.000,1.000,2.000
309227.780,6143493.090,459.420,1.000,1.000,2.000
309227.770,6143492.940,459.380,1.000,1.000,2.000
309227.760,6143492.760,459.410,1.000,1.000,2.000
309227.750,6143492.600,459.440,1.000,1.000,2.000
309227.730,6143492.440,459.410,1.000,1.000,2.000
309227.720,6143492.280,459.440,1.000,1.000,2.000
309227.700,6143492.110,459.460,1.000,1.000,2.000
309227.690,6143491.940,459.500,1.000,1.000,2.000
309227.680,6143491.760,459.590,1.000,1.000,2.000
309227.670,6143491.610,459.570,1.000,1.000,2.000
309227.640,6143491.460,459.470,1.000,1.000,2.000
309227.630,6143491.300,459.470,1.000,1.000,2.000
309227.610,6143491.140,459.480,1.000,1.000,2.000
309227.600,6143490.960,459.510,1.000,1.000,2.000
309227.580,6143490.800,459.510,1.000,1.000,2.000
309227.560,6143490.650,459.450,1.000,1.000,2.000
309227.550,6143490.470,459.520,1.000,1.000,2.000
309228.010,6143489.360,465.500,1.000,2.000,5.000
309227.540,6143490.310,459.520,2.000,2.000,2.000
309228.110,6143488.980,466.900,1.000,3.000,5.000
309228.000,6143489.220,465.500,2.000,3.000,5.000
309227.520,6143490.150,459.540,3.000,3.000,2.000
309227.970,6143489.060,465.410,1.000,2.000,5.000
309227.510,6143489.990,459.530,2.000,2.000,2.000
309228.090,6143488.650,467.090,1.000,3.000,5.000
309227.950,6143488.930,465.280,2.000,3.000,5.000
309227.490,6143489.830,459.540,3.000,3.000,2.000
309228.040,6143488.570,466.610,1.000,3.000,5.000
309227.930,6143488.790,465.210,2.000,3.000,5.000
309227.480,6143489.670,459.530,3.000,3.000,2.000
309228.030,6143488.400,466.700,1.000,3.000,5.000
309227.900,6143488.650,465.070,2.000,3.000,5.000
309227.460,6143489.500,459.530,3.000,3.000,2.000
309228.000,6143488.280,466.510,1.000,3.000,5.000
309227.790,6143488.680,463.810,2.000,3.000,5.000
309227.440,6143489.340,459.520,3.000,3.000,2.000
309228.010,6143488.080,466.760,1.000,4.000,5.000
309227.930,6143488.220,465.820,2.000,4.000,5.000
309227.770,6143488.540,463.790,3.000,4.000,5.000
309227.430,6143489.180,459.510,4.000,4.000,2.000
309227.990,6143487.920,466.730,1.000,3.000,5.000
309227.630,6143488.600,462.280,2.000,3.000,5.000
309227.410,6143489.020,459.510,3.000,3.000,2.000
309228.010,6143487.710,467.160,1.000,2.000,5.000
309227.400,6143488.860,459.500,2.000,2.000,2.000
309228.000,6143487.540,467.270,1.000,3.000,5.000
309227.610,6143488.270,462.330,2.000,3.000,5.000
309227.380,6143488.710,459.480,3.000,3.000,2.000
309227.950,6143487.460,466.740,1.000,3.000,5.000
309227.740,6143487.850,464.170,2.000,3.000,5.000
309227.600,6143488.110,462.390,3.000,3.000,5.000
309227.940,6143487.290,466.890,1.000,2.000,5.000
309227.740,6143487.660,464.340,2.000,2.000,5.000
309227.950,6143487.080,467.190,1.000,3.000,5.000
309227.710,6143487.520,464.200,2.000,3.000,5.000
309227.340,6143488.210,459.520,3.000,3.000,2.000
309227.930,6143486.950,467.080,1.000,3.000,5.000
309227.600,6143487.540,462.970,2.000,3.000,5.000
309227.320,6143488.050,459.500,3.000,3.000,2.000
